age,female,black,white,born_usa,single,salary,degree,major,slf_emp,discrimination,happy,life
22.0,0,0,1,yes,yes,23595.0,junior college,computer science,someone else,0,not too happy,routine
24.0,1,0,1,yes,yes,5445.0,high school,,someone else,0,pretty happy,dull
32.0,1,1,0,yes,no,8168.0,high school,,someone else,0,pretty happy,routine
19.0,0,0,1,yes,,,lt high school,,,0,very happy,
54.0,1,0,1,yes,yes,39930.0,bachelor,accounting/bookkeeping,someone else,0,pretty happy,routine
42.0,1,0,1,yes,yes,59895.0,bachelor,social work,someone else,0,pretty happy,routine
65.0,1,0,1,yes,,32670.0,high school,,someone else,0,not too happy,
59.0,1,0,1,yes,no,49005.0,junior college,nursing,someone else,0,very happy,exciting
51.0,0,0,1,yes,no,49005.0,high school,,someone else,0,pretty happy,routine
69.0,0,0,1,yes,,49005.0,high school,,self-employed,0,pretty happy,
24.0,0,0,1,yes,,3267.0,high school,,someone else,0,not too happy,exciting
45.0,1,0,1,yes,,189211.0,graduate,medicine,self-employed,0,very happy,
33.0,0,0,1,yes,yes,189211.0,bachelor,computer science,someone else,0,pretty happy,routine
78.0,1,0,1,no,,,bachelor,education,someone else,0,very happy,
69.0,0,0,1,no,yes,,graduate,biology,someone else,0,very happy,exciting
74.0,1,0,1,yes,yes,,bachelor,general sciences,someone else,0,pretty happy,exciting
76.0,0,0,0,no,,,bachelor,education,someone else,0,not too happy,
47.0,0,1,0,yes,yes,39930.0,lt high school,,someone else,1,pretty happy,routine
31.0,1,0,1,yes,no,,high school,,someone else,1,pretty happy,routine
58.0,1,0,1,yes,yes,,bachelor,biology,someone else,0,pretty happy,routine
47.0,1,0,1,yes,,27225.0,graduate,psychology,self-employed,1,pretty happy,
27.0,1,1,0,yes,yes,,graduate,law,self-employed,1,not too happy,exciting
32.0,1,1,0,yes,yes,32670.0,high school,,someone else,0,pretty happy,routine
19.0,1,0,0,yes,yes,,high school,,someone else,0,not too happy,routine
44.0,1,0,0,no,,19965.0,high school,,someone else,0,not too happy,
41.0,0,0,1,yes,yes,,lt high school,,someone else,0,not too happy,routine
36.0,0,1,0,yes,,3267.0,junior college,mathmatics,someone else,1,pretty happy,
33.0,0,0,0,no,yes,101640.0,graduate,computer science,someone else,0,pretty happy,routine
60.0,1,0,1,yes,yes,49005.0,graduate,dentistry,someone else,1,pretty happy,exciting
